Motion Sensor Data File Thu, Oct 07, 2021 10:26 AM
Time (s)	Velocity (cm/s)
6.100	NaN
6.110	-0.731
6.120	-2.064
6.130	-4.601
6.140	-4.601
6.150	-6.794
6.160	-6.321
6.170	-9.331
6.180	-9.804
6.190	-9.761
6.200	-11.911
6.210	-11.911
6.220	-13.244
6.230	-12.771
6.240	-13.631
6.250	-13.674
6.260	-14.491
6.270	-14.491
6.280	-14.964
6.290	-14.491
6.300	-13.201
6.310	-13.631
6.320	-14.534
6.330	-13.631
6.340	-12.771
6.350	-9.374
6.360	-11.911
6.370	-9.331
6.380	-8.901
6.390	-9.374
6.400	-6.751
6.410	-8.901
6.420	-4.644
6.430	-4.171
6.440	-2.021
6.450	-0.774
6.460	-0.731
6.470	3.999
6.480	1.806
6.490	3.999
6.500	5.289
6.510	4.816
6.520	7.869
6.530	8.299
6.540	9.546
6.550	9.589
6.560	9.159
6.570	12.556
6.580	11.739
6.590	13.416
6.600	13.029
6.610	14.319
6.620	12.556
6.630	14.749
6.640	15.609
6.650	13.416
6.660	14.749
6.670	12.556
6.680	14.749
6.690	13.889
6.700	11.266
6.710	13.029
6.720	9.589
6.730	10.406
6.740	8.729
6.750	8.729
6.760	7.826
6.770	5.289
6.780	5.289
6.790	2.666
6.800	3.569
6.810	0.989
6.820	0.516
6.830	-0.301
6.840	-2.881
6.850	-2.924
6.860	-5.891
6.870	-5.031
6.880	-7.224
6.890	-7.611
6.900	-9.331
6.910	-10.234
6.920	-10.191
6.930	-12.771
6.940	-11.524
6.950	-12.341
6.960	-15.351
6.970	-12.341
6.980	-15.394
6.990	-13.631
7.000	-13.201
7.010	-13.244
7.020	-13.201
7.030	-14.491
7.040	-12.341
7.050	-14.534
7.060	-11.481
7.070	-12.771
7.080	-10.664
7.090	-10.191
7.100	-10.191
7.110	-8.944
7.120	-8.471
7.130	-5.891
7.140	-4.171
7.150	-4.644
7.160	-2.021
7.170	-1.591
7.180	0.516
7.190	0.559
7.200	3.139
7.210	3.956
7.220	3.569
7.230	6.579
7.240	6.106
7.250	8.299
7.260	8.299
7.270	10.836
7.280	11.309
7.290	10.836
7.300	12.599
7.310	10.449
7.320	14.706
7.330	13.029
7.340	14.319
7.350	14.706
7.360	14.749
7.370	14.319
7.380	13.416
7.390	13.889
7.400	13.846
7.410	13.029
7.420	12.599
7.430	11.696
7.440	11.739
7.450	9.159
7.460	10.406
7.470	9.589
7.480	6.579
7.490	6.536
7.500	4.859
7.510	4.859
7.520	1.806
7.530	2.279
7.540	1.419
7.550	-1.634
7.560	-1.591
7.570	-3.741
7.580	-4.214
7.590	-6.321
7.600	-5.891
7.610	-7.224
7.620	-10.191
7.630	-9.331
7.640	-10.664
7.650	-11.051
7.660	-11.911
7.670	-12.771
7.680	-13.674
7.690	-13.631
7.700	-13.631
7.710	-14.964
7.720	-13.631
7.730	-14.921
7.740	-14.104
7.750	-13.631
7.760	-14.061
7.770	-13.201
7.780	-13.244
7.790	-11.481
7.800	-10.621
7.810	-11.094
7.820	-8.901
7.830	-9.761
7.840	-8.041
7.850	-6.364
7.860	-6.751
7.870	-1.591
7.880	-3.784
7.890	-1.591
7.900	-1.591
7.910	1.376
7.920	2.709
7.930	-0.301
7.940	5.246
7.950	4.429
7.960	7.009
7.970	6.966
7.980	9.589
7.990	9.589
8.000	9.546
8.010	13.029
8.020	11.696
8.030	12.599
8.040	12.599
8.050	12.556
8.060	14.319
8.070	13.459
8.080	15.136
8.090	13.889
8.100	15.179
8.110	14.706
8.120	12.169
8.130	14.276
8.140	11.739
8.150	12.599
8.160	10.836
8.170	10.879
8.180	10.019
8.190	8.256
8.200	8.729
8.210	6.149
8.220	6.536
8.230	3.569
8.240	4.429
8.250	2.666
8.260	0.559
8.270	0.129
8.280	-2.494
8.290	-2.451
8.300	-3.741
8.310	-5.934
8.320	-5.891
8.330	-8.041
8.340	-8.514
8.350	-10.191
8.360	-9.331
8.370	-10.234
8.380	-12.771
8.390	-11.051
8.400	-14.061
8.410	-12.814
8.420	-13.631
8.430	-14.061
8.440	-12.814
8.450	-16.211
8.460	-13.201
8.470	-12.341
8.480	-13.244
8.490	-13.631
8.500	-13.201
8.510	-11.094
8.520	-12.341
8.530	-9.761
8.540	-10.234
8.550	-8.041
8.560	-10.191
