 Radioactive Decay Experiment Sep 30, 2021 9:38 AM
Sample Number	Number of Counts
1	834
2	785
3	691
4	663
5	609
6	508
7	491
8	472
9	411
10	413
11	365
12	314
13	280
14	275
15	232
16	231
17	228
18	199
19	165
20	174
21	145
22	155
23	121
24	124
25	111
26	93
27	93
28	109
29	77
30	71
31	79
32	68
33	55
34	73
35	59
36	54
37	64
38	52
39	33
40	29
41	23
42	37
43	33
44	37
45	34
46	28
47	32
48	28
49	36
50	26
51	21
52	18
53	27
54	19
55	16
56	14
57	18
58	17
59	29
60	14
