 Radioactive Decay Experiment Sep 30, 2021 9:53 AM
Sample Number	Number of Counts
1	122
2	138
3	125
4	119
5	141
6	130
7	120
8	140
9	109
10	130
11	131
12	120
13	138
14	148
15	114
16	137
17	131
18	126
19	114
20	120
21	128
22	141
23	116
24	131
25	120
26	125
27	110
28	121
29	142
30	125
31	114
32	137
33	98
34	115
35	126
36	136
37	134
38	132
39	129
40	140
41	94
42	124
43	121
44	134
45	137
46	158
47	110
48	126
49	107
50	119
51	119
52	112
53	106
54	121
55	124
56	100
57	128
58	141
59	147
60	126
61	131
62	142
63	138
64	147
65	125
66	129
67	131
68	125
69	124
70	145
71	120
72	141
73	135
74	125
75	121
76	139
77	120
78	138
79	129
80	127
81	140
82	133
83	129
84	139
85	129
86	145
87	110
88	132
89	138
90	125
91	138
92	144
93	137
94	131
95	132
96	127
97	141
98	136
99	124
100	115
