 Radioactive Decay Experiment Sep 30, 2021 10:08 AM
Sample Number	Number of Counts
1	2
2	0
3	0
4	2
5	3
6	0
7	4
8	0
9	1
10	1
11	4
12	1
13	5
14	4
15	0
16	4
17	1
18	2
19	2
20	1
21	1
22	1
23	0
24	0
25	2
26	2
27	3
28	1
29	2
30	1
31	3
32	4
33	2
34	0
35	1
36	3
37	3
38	1
39	1
40	1
41	2
42	2
43	1
44	1
45	0
46	3
47	2
48	1
49	3
50	1
51	1
52	2
53	3
54	0
55	3
56	1
57	0
58	4
59	2
60	4
61	0
62	2
63	6
64	1
65	4
66	3
67	1
68	1
69	1
70	1
71	2
72	3
73	2
74	2
75	1
76	2
77	1
78	0
79	3
80	3
81	3
82	2
83	3
84	3
85	2
86	1
87	3
88	2
89	0
90	2
91	8
92	4
93	0
94	2
95	4
96	4
97	4
98	1
99	4
100	3
1	2
2	0
3	0
4	2
5	3
6	0
7	4
8	0
9	1
10	1
11	4
12	1
13	5
14	4
15	0
16	4
17	1
18	2
19	2
20	1
21	1
22	1
23	0
24	0
25	2
26	2
27	3
28	1
29	2
30	1
31	3
32	4
33	2
34	0
35	1
36	3
37	3
38	1
39	1
40	1
41	2
42	2
43	1
44	1
45	0
46	3
47	2
48	1
49	3
50	1
51	1
52	2
53	3
54	0
55	3
56	1
57	0
58	4
59	2
60	4
61	0
62	2
63	6
64	1
65	4
66	3
67	1
68	1
69	1
70	1
71	2
72	3
73	2
74	2
75	1
76	2
77	1
78	0
79	3
80	3
81	3
82	2
83	3
84	3
85	2
86	1
87	3
88	2
89	0
90	2
91	8
92	4
93	0
94	2
95	4
96	4
97	4
98	1
99	4
100	3
1	2
2	0
3	0
4	2
5	3
6	0
7	4
8	0
9	1
10	1
11	4
12	1
13	5
14	4
15	0
16	4
17	1
18	2
19	2
20	1
21	1
22	1
23	0
24	0
25	2
26	2
27	3
28	1
29	2
30	1
31	3
32	4
33	2
34	0
35	1
36	3
37	3
38	1
39	1
40	1
41	2
42	2
43	1
44	1
45	0
46	3
47	2
48	1
49	3
50	1
51	1
52	2
53	3
54	0
55	3
56	1
57	0
58	4
59	2
60	4
61	0
62	2
63	6
64	1
65	4
66	3
67	1
68	1
69	1
70	1
71	2
72	3
73	2
74	2
75	1
76	2
77	1
78	0
79	3
80	3
81	3
82	2
83	3
84	3
85	2
86	1
87	3
88	2
89	0
90	2
91	8
92	4
93	0
94	2
95	4
96	4
97	4
98	1
99	4
100	3
1	2
2	0
3	0
4	2
5	3
6	0
7	4
8	0
9	1
10	1
11	4
12	1
13	5
14	4
15	0
16	4
17	1
18	2
19	2
20	1
21	1
22	1
23	0
24	0
25	2
26	2
27	3
28	1
29	2
30	1
31	3
32	4
33	2
34	0
35	1
36	3
37	3
38	1
39	1
40	1
41	2
42	2
43	1
44	1
45	0
46	3
47	2
48	1
49	3
50	1
51	1
52	2
53	3
54	0
55	3
56	1
57	0
58	4
59	2
60	4
61	0
62	2
63	6
64	1
65	4
66	3
67	1
68	1
69	1
70	1
71	2
72	3
73	2
74	2
75	1
76	2
77	1
78	0
79	3
80	3
81	3
82	2
83	3
84	3
85	2
86	1
87	3
88	2
89	0
90	2
91	8
92	4
93	0
94	2
95	4
96	4
97	4
98	1
99	4
100	3
1	2
2	0
3	0
4	2
5	3
6	0
7	4
8	0
9	1
10	1
11	4
12	1
13	5
14	4
15	0
16	4
17	1
18	2
19	2
20	1
21	1
22	1
23	0
24	0
25	2
26	2
27	3
28	1
29	2
30	1
31	3
32	4
33	2
34	0
35	1
36	3
37	3
38	1
39	1
40	1
41	2
42	2
43	1
44	1
45	0
46	3
47	2
48	1
49	3
50	1
51	1
52	2
53	3
54	0
55	3
56	1
57	0
58	4
59	2
60	4
61	0
62	2
63	6
64	1
65	4
66	3
67	1
68	1
69	1
70	1
71	2
72	3
73	2
74	2
75	1
76	2
77	1
78	0
79	3
80	3
81	3
82	2
83	3
84	3
85	2
86	1
87	3
88	2
89	0
90	2
91	8
92	4
93	0
94	2
95	4
96	4
97	4
98	1
99	4
100	3
