Motion Sensor Data File Thu, Oct 07, 2021 10:31 AM
Time (s)	Distance (cm)	Dist Error (cm)
0.490	20.688	0.239
0.500	20.762	0.239
0.510	20.819	0.239
0.520	20.889	0.239
0.530	20.955	0.239
0.540	21.012	0.239
0.550	21.073	0.239
0.560	21.126	0.239
0.570	21.183	0.239
0.580	21.223	0.239
0.590	21.271	0.239
0.600	21.316	0.239
0.610	21.343	0.239
0.620	21.378	0.239
0.630	21.392	0.239
0.640	21.419	0.239
0.650	21.420	0.239
0.660	21.435	0.239
0.670	21.440	0.239
0.680	21.428	0.239
0.690	21.421	0.239
0.700	21.396	0.239
0.710	21.376	0.239
0.720	21.343	0.239
0.730	21.314	0.239
0.740	21.281	0.239
0.750	21.230	0.239
0.760	21.189	0.239
0.770	21.129	0.239
0.780	21.079	0.239
0.790	21.016	0.239
0.800	20.961	0.239
0.810	20.902	0.239
0.820	20.830	0.239
0.830	20.771	0.239
0.840	20.699	0.239
0.850	20.640	0.239
0.860	20.569	0.239
0.870	20.509	0.239
0.880	20.455	0.239
0.890	20.387	0.239
0.900	20.333	0.239
0.910	20.274	0.239
0.920	20.227	0.239
0.930	20.185	0.239
0.940	20.139	0.239
0.950	20.106	0.239
0.960	20.069	0.239
0.970	20.044	0.239
0.980	20.015	0.239
0.990	20.008	0.239
1.000	20.001	0.239
1.010	19.993	0.239
1.020	19.998	0.239
1.030	20.000	0.239
1.040	20.018	0.239
1.050	20.028	0.239
1.060	20.059	0.239
1.070	20.095	0.239
1.080	20.126	0.239
1.090	20.170	0.239
1.100	20.206	0.239
1.110	20.263	0.239
1.120	20.307	0.239
1.130	20.369	0.239
1.140	20.434	0.239
1.150	20.487	0.239
1.160	20.553	0.239
1.170	20.610	0.239
1.180	20.684	0.239
1.190	20.741	0.239
1.200	20.811	0.239
1.210	20.881	0.239
1.220	20.934	0.239
1.230	21.004	0.239
1.240	21.052	0.239
1.250	21.114	0.239
1.260	21.162	0.239
1.270	21.215	0.239
1.280	21.264	0.239
1.290	21.295	0.239
