Motion Sensor Data File Thu, Oct 07, 2021 10:26 AM
Time (s)	Distance (cm)	Dist Error (cm)
6.630	19.826	0.239
6.640	19.982	0.239
6.650	20.116	0.239
6.660	20.264	0.239
6.670	20.389	0.239
6.680	20.537	0.239
6.690	20.676	0.239
6.700	20.788	0.239
6.710	20.919	0.239
6.720	21.015	0.239
6.730	21.119	0.239
6.740	21.206	0.239
6.750	21.293	0.239
6.760	21.371	0.239
6.770	21.424	0.239
6.780	21.477	0.239
6.790	21.504	0.239
6.800	21.540	0.239
6.810	21.549	0.239
6.820	21.555	0.239
6.830	21.552	0.239
6.840	21.523	0.239
6.850	21.494	0.239
6.860	21.435	0.239
6.870	21.384	0.239
6.880	21.312	0.239
6.890	21.236	0.239
6.900	21.143	0.239
6.910	21.040	0.239
6.920	20.938	0.239
6.930	20.811	0.239
6.940	20.695	0.239
6.950	20.572	0.239
6.960	20.419	0.239
6.970	20.295	0.239
6.980	20.141	0.239
6.990	20.005	0.239
7.000	19.873	0.239
7.010	19.740	0.239
7.020	19.608	0.239
7.030	19.464	0.239
7.040	19.340	0.239
7.050	19.195	0.239
7.060	19.080	0.239
7.070	18.952	0.239
7.080	18.846	0.239
7.090	18.744	0.239
7.100	18.642	0.239
7.110	18.552	0.239
7.120	18.468	0.239
7.130	18.409	0.239
7.140	18.367	0.239
7.150	18.321	0.239
7.160	18.300	0.239
7.170	18.284	0.239
7.180	18.290	0.239
7.190	18.295	0.239
7.200	18.327	0.239
7.210	18.366	0.239
7.220	18.402	0.239
7.230	18.468	0.239
7.240	18.529	0.239
7.250	18.612	0.239
7.260	18.695	0.239
7.270	18.803	0.239
7.280	18.916	0.239
7.290	19.024	0.239
7.300	19.150	0.239
7.310	19.255	0.239
7.320	19.402	0.239
7.330	19.532	0.239
7.340	19.676	0.239
7.350	19.823	0.239
7.360	19.970	0.239
7.370	20.113	0.239
7.380	20.247	0.239
7.390	20.386	0.239
7.400	20.525	0.239
7.410	20.655	0.239
7.420	20.781	0.239
7.430	20.898	0.239
7.440	21.015	0.239
7.450	21.107	0.239
7.460	21.211	0.239
7.470	21.307	0.239
7.480	21.373	0.239
7.490	21.438	0.239
7.500	21.487	0.239
7.510	21.535	0.239
7.520	21.553	0.239
7.530	21.576	0.239
7.540	21.590	0.239
7.550	21.574	0.239
7.560	21.558	0.239
7.570	21.521	0.239
7.580	21.478	0.239
7.590	21.415	0.239
7.600	21.356	0.239
7.610	21.284	0.239
7.620	21.182	0.239
7.630	21.089	0.239
7.640	20.982	0.239
7.650	20.872	0.239
7.660	20.753	0.239
7.670	20.625	0.239
7.680	20.488	0.239
7.690	20.352	0.239
7.700	20.216	0.239
7.710	20.066	0.239
7.720	19.930	0.239
7.730	19.780	0.239
7.740	19.639	0.239
7.750	19.503	0.239
7.760	19.362	0.239
7.770	19.230	0.239
7.780	19.098	0.239
7.790	18.983	0.239
7.800	18.877	0.239
7.810	18.766	0.239
7.820	18.677	0.239
7.830	18.579	0.239
7.840	18.499	0.239
7.850	18.435	0.239
7.860	18.368	0.239
7.870	18.352	0.239
7.880	18.314	0.239
7.890	18.298	0.239
7.900	18.282	0.239
7.910	18.296	0.239
7.920	18.323	0.239
7.930	18.320	0.239
7.940	18.373	0.239
7.950	18.417	0.239
7.960	18.487	0.239
7.970	18.557	0.239
7.980	18.653	0.239
7.990	18.748	0.239
8.000	18.844	0.239
8.010	18.974	0.239
8.020	19.091	0.239
8.030	19.217	0.239
8.040	19.343	0.239
8.050	19.469	0.239
8.060	19.612	0.239
8.070	19.746	0.239
8.080	19.898	0.239
8.090	20.037	0.239
8.100	20.188	0.239
8.110	20.336	0.239
8.120	20.457	0.239
8.130	20.600	0.239
8.140	20.717	0.239
8.150	20.843	0.239
8.160	20.952	0.239
8.170	21.061	0.239
8.180	21.161	0.239
8.190	21.243	0.239
8.200	21.331	0.239
8.210	21.392	0.239
8.220	21.457	0.239
8.230	21.493	0.239
8.240	21.537	0.239
8.250	21.564	0.239
8.260	21.570	0.239
8.270	21.571	0.239
8.280	21.546	0.239
8.290	21.521	0.239
8.300	21.484	0.239
8.310	21.425	0.239
8.320	21.366	0.239
8.330	21.285	0.239
8.340	21.200	0.239
8.350	21.098	0.239
8.360	21.005	0.239
8.370	20.903	0.239
8.380	20.775	0.239
8.390	20.665	0.239
8.400	20.524	0.239
8.410	20.396	0.239
8.420	20.259	0.239
8.430	20.119	0.239
8.440	19.991	0.239
8.450	19.829	0.239
8.460	19.697	0.239
8.470	19.573	0.239
8.480	19.441	0.239
8.490	19.304	0.239
8.500	19.172	0.239
8.510	19.061	0.239
8.520	18.938	0.239
8.530	18.840	0.239
8.540	18.738	0.239
8.550	18.658	0.239
8.560	18.556	0.239
8.570	18.480	0.239
8.580	18.425	0.239
8.590	18.374	0.239
8.600	18.337	0.239
8.610	18.329	0.239
8.620	18.326	0.239
8.630	18.332	0.239
8.640	18.337	0.239
8.650	18.373	0.239
8.660	18.404	0.239
8.670	18.456	0.239
8.680	18.514	0.239
8.690	18.571	0.239
8.700	18.666	0.239
8.710	18.749	0.239
8.720	18.858	0.239
8.730	18.954	0.239
8.740	19.075	0.239
8.750	19.188	0.239
8.760	19.327	0.239
8.770	19.466	0.239
8.780	19.596	0.239
8.790	19.734	0.239
8.800	19.869	0.239
8.810	20.020	0.239
8.820	20.164	0.239
8.830	20.298	0.239
8.840	20.428	0.239
8.850	20.558	0.239
8.860	20.692	0.239
8.870	20.797	0.239
8.880	20.927	0.239
8.890	21.031	0.239
8.900	21.123	0.239
8.910	21.219	0.239
8.920	21.293	0.239
8.930	21.367	0.239
8.940	21.420	0.239
8.950	21.472	0.239
8.960	21.508	0.239
8.970	21.527	0.239
8.980	21.545	0.239
8.990	21.533	0.239
9.000	21.526	0.239
9.010	21.505	0.239
9.020	21.459	0.239
9.030	21.417	0.239
9.040	21.354	0.239
9.050	21.286	0.239
9.060	21.197	0.239
9.070	21.108	0.239
