Motion Sensor Data File Thu, Oct 07, 2021 9:39 AM
Time (s)	Distance (cm)	Dist Error (cm)
5.040	17.797	0.239
5.050	17.910	0.239
5.060	18.032	0.239
5.070	18.188	0.239
5.080	18.356	0.239
5.090	18.551	0.239
5.100	18.754	0.239
5.110	18.988	0.239
5.120	19.234	0.239
5.130	19.480	0.239
5.140	19.748	0.239
5.150	20.011	0.239
5.160	20.292	0.239
5.170	20.564	0.239
5.180	20.849	0.239
5.190	21.138	0.239
5.200	21.406	0.239
5.210	21.682	0.239
5.220	21.937	0.239
5.230	22.196	0.239
5.240	22.443	0.239
5.250	22.658	0.239
5.260	22.875	0.239
5.270	23.061	0.239
5.280	23.238	0.239
5.290	23.386	0.239
5.300	23.520	0.239
5.310	23.633	0.239
5.320	23.711	0.239
5.330	23.773	0.239
5.340	23.800	0.239
5.350	23.814	0.239
5.360	23.789	0.239
5.370	23.752	0.239
5.380	23.689	0.239
5.390	23.591	0.239
5.400	23.480	0.239
5.410	23.335	0.239
5.420	23.182	0.239
5.430	22.993	0.239
5.440	22.801	0.239
5.450	22.587	0.239
5.460	22.352	0.239
5.470	22.113	0.239
5.480	21.847	0.239
5.490	21.590	0.239
5.500	21.308	0.239
5.510	21.038	0.239
5.520	20.764	0.239
5.530	20.477	0.239
5.540	20.203	0.239
5.550	19.925	0.239
5.560	19.660	0.239
5.570	19.407	0.239
5.580	19.154	0.239
5.590	18.923	0.239
5.600	18.697	0.239
5.610	18.492	0.239
5.620	18.290	0.239
5.630	18.150	0.239
5.640	18.009	0.239
5.650	17.843	0.239
5.660	17.788	0.239
5.670	17.703	0.239
5.680	17.657	0.239
5.690	17.628	0.239
5.700	17.633	0.239
5.710	17.665	0.239
5.720	17.709	0.239
5.730	17.788	0.239
5.740	17.849	0.239
5.750	18.014	0.239
5.760	18.152	0.239
5.770	18.321	0.239
5.780	18.512	0.239
5.790	18.711	0.239
5.800	18.935	0.239
5.810	19.164	0.239
5.820	19.415	0.239
5.830	19.682	0.239
5.840	19.942	0.239
5.850	20.222	0.239
5.860	20.490	0.239
5.870	20.775	0.239
5.880	21.047	0.239
5.890	21.332	0.239
5.900	21.608	0.239
5.910	21.863	0.239
5.920	22.127	0.239
5.930	22.360	0.239
5.940	22.597	0.239
5.950	22.801	0.239
5.960	23.004	0.239
5.970	23.190	0.239
5.980	23.337	0.239
5.990	23.481	0.239
6.000	23.585	0.239
6.010	23.681	0.239
6.020	23.742	0.239
6.030	23.786	0.239
6.040	23.809	0.239
6.050	23.788	0.239
6.060	23.760	0.239
6.070	23.692	0.239
6.080	23.611	0.239
6.090	23.496	0.239
6.100	23.369	0.239
6.110	23.224	0.239
6.120	23.040	0.239
6.130	22.852	0.239
6.140	22.634	0.239
6.150	22.412	0.239
6.160	22.176	0.239
6.170	21.919	0.239
6.180	21.663	0.239
6.190	21.384	0.239
6.200	21.115	0.239
6.210	20.827	0.239
6.220	20.554	0.239
6.230	20.280	0.239
6.240	20.001	0.239
6.250	19.736	0.239
6.260	19.466	0.239
6.270	19.209	0.239
6.280	18.978	0.239
6.290	18.760	0.239
6.300	18.555	0.239
6.310	18.358	0.239
6.320	18.192	0.239
6.330	18.034	0.239
6.340	17.911	0.239
6.350	17.800	0.239
6.360	17.724	0.239
6.370	17.669	0.239
6.380	17.627	0.239
6.390	17.624	0.239
6.400	17.638	0.239
6.410	17.687	0.239
6.420	17.748	0.239
6.430	17.702	0.239
6.440	17.970	0.239
6.450	18.100	0.239
6.460	18.256	0.239
6.470	18.442	0.239
6.480	18.645	0.239
6.490	18.865	0.239
6.500	19.090	0.239
6.510	19.341	0.239
6.520	19.587	0.239
6.530	19.855	0.239
6.540	20.127	0.239
6.550	20.403	0.239
6.560	20.692	0.239
6.570	20.964	0.239
6.580	21.249	0.239
6.590	21.517	0.239
6.600	21.789	0.239
6.610	22.040	0.239
6.620	22.295	0.239
6.630	22.532	0.239
6.640	22.744	0.239
6.650	22.956	0.239
6.660	23.133	0.239
6.670	23.302	0.239
6.680	23.437	0.239
6.690	23.562	0.239
6.700	23.667	0.239
6.710	23.733	0.239
6.720	23.790	0.239
6.730	23.804	0.239
6.740	23.809	0.239
6.750	23.776	0.239
6.760	23.730	0.239
6.770	23.658	0.239
6.780	23.547	0.239
6.790	23.432	0.239
6.800	23.278	0.239
6.810	23.116	0.239
6.820	22.933	0.239
6.830	22.723	0.239
6.840	22.505	0.239
6.850	22.265	0.239
6.860	22.022	0.239
6.870	21.756	0.239
6.880	21.495	0.239
6.890	21.230	0.239
6.900	20.947	0.239
6.910	20.673	0.239
6.920	20.386	0.239
6.930	20.117	0.239
6.940	19.838	0.239
6.950	19.577	0.239
6.960	19.329	0.239
6.970	19.081	0.239
6.980	18.859	0.239
6.990	18.636	0.239
7.000	18.448	0.239
7.010	18.234	0.239
7.020	18.111	0.239
7.030	17.979	0.239
7.040	17.704	0.239
7.050	17.774	0.239
7.060	17.703	0.239
7.070	17.665	0.239
7.080	17.640	0.239
7.090	17.655	0.239
7.100	17.694	0.239
7.110	17.747	0.239
7.120	17.654	0.239
7.130	17.934	0.239
7.140	18.069	0.239
7.150	18.195	0.239
7.160	18.389	0.239
7.170	18.588	0.239
7.180	18.787	0.239
7.190	19.016	0.239
7.200	19.250	0.239
7.210	19.504	0.239
7.220	19.772	0.239
7.230	20.031	0.239
7.240	20.312	0.239
7.250	20.580	0.239
7.260	20.864	0.239
7.270	21.137	0.239
7.280	21.413	0.239
7.290	21.689	0.239
7.300	21.944	0.239
7.310	22.199	0.239
7.320	22.428	0.239
7.330	22.657	0.239
7.340	22.861	0.239
7.350	23.055	0.239
7.360	23.228	0.239
7.370	23.371	0.239
7.380	23.506	0.239
7.390	23.606	0.239
7.400	23.693	0.239
7.410	23.742	0.239
7.420	23.777	0.239
7.430	23.791	0.239
7.440	23.762	0.239
7.450	23.729	0.239
7.460	23.648	0.239
7.470	23.564	0.239
7.480	23.453	0.239
7.490	23.308	0.239
7.500	23.154	0.239
7.510	22.966	0.239
7.520	22.774	0.239
7.530	22.552	0.239
7.540	22.329	0.239
7.550	22.090	0.239
7.560	21.829	0.239
7.570	21.572	0.239
7.580	21.293	0.239
7.590	21.024	0.239
7.600	20.737	0.239
7.610	20.467	0.239
7.620	20.198	0.239
7.630	19.919	0.239
7.640	19.658	0.239
7.650	19.397	0.239
7.660	19.140	0.239
7.670	18.896	0.239
7.680	18.704	0.239
7.690	18.494	0.239
7.700	18.302	0.239
7.710	18.144	0.239
7.720	18.012	0.239
7.730	17.867	0.239
7.740	17.735	0.239
7.750	17.728	0.239
7.760	17.686	0.239
7.770	17.652	0.239
7.780	17.662	0.239
7.790	17.681	0.239
7.800	17.742	0.239
7.810	17.747	0.239
7.820	17.899	0.239
7.830	18.042	0.239
7.840	18.159	0.239
7.850	18.354	0.239
7.860	18.527	0.239
7.870	18.739	0.239
7.880	18.964	0.239
7.890	19.189	0.239
7.900	19.443	0.239
7.910	19.694	0.239
7.920	19.966	0.239
7.930	20.229	0.239
7.940	20.510	0.239
7.950	20.795	0.239
7.960	21.067	0.239
7.970	21.348	0.239
7.980	21.611	0.239
7.990	21.879	0.239
8.000	22.125	0.239
8.010	22.371	0.239
8.020	22.605	0.239
8.030	22.808	0.239
8.040	23.011	0.239
8.050	23.180	0.239
8.060	23.340	0.239
8.070	23.470	0.239
8.080	23.588	0.239
8.090	23.684	0.239
8.100	23.740	0.239
8.110	23.785	0.239
8.120	23.794	0.239
8.130	23.791	0.239
8.140	23.762	0.239
8.150	23.695	0.239
8.160	23.614	0.239
8.170	23.499	0.239
8.180	23.371	0.239
8.190	23.214	0.239
8.200	23.047	0.239
8.210	22.859	0.239
8.220	22.641	0.239
8.230	22.423	0.239
8.240	22.175	0.239
8.250	21.931	0.239
8.260	21.661	0.239
8.270	21.400	0.239
8.280	21.130	0.239
8.290	20.848	0.239
8.300	20.574	0.239
8.310	20.291	0.239
8.320	20.021	0.239
8.330	19.747	0.239
8.340	19.491	0.239
8.350	19.225	0.239
8.360	19.003	0.239
8.370	18.789	0.239
8.380	18.545	0.239
8.390	18.379	0.239
8.400	18.135	0.239
8.410	18.063	0.239
8.420	17.939	0.239
8.430	17.635	0.239
8.440	17.753	0.239
8.450	17.685	0.239
8.460	17.660	0.239
8.470	17.657	0.239
8.480	17.667	0.239
8.490	17.711	0.239
8.500	17.755	0.239
8.510	17.765	0.239
8.520	17.977	0.239
8.530	18.120	0.239
8.540	18.280	0.239
8.550	18.458	0.239
8.560	18.661	0.239
8.570	18.868	0.239
8.580	19.102	0.239
8.590	19.335	0.239
8.600	19.594	0.239
8.610	19.866	0.239
8.620	20.125	0.239
8.630	20.406	0.239
8.640	20.678	0.239
8.650	20.959	0.239
8.660	21.227	0.239
8.670	21.507	0.239
8.680	21.779	0.239
8.690	22.025	0.239
8.700	22.276	0.239
8.710	22.505	0.239
8.720	22.730	0.239
8.730	22.933	0.239
8.740	23.110	0.239
8.750	23.279	0.239
8.760	23.418	0.239
8.770	23.544	0.239
8.780	23.631	0.239
8.790	23.709	0.239
8.800	23.767	0.239
8.810	23.781	0.239
8.820	23.786	0.239
8.830	23.753	0.239
8.840	23.707	0.239
8.850	23.622	0.239
8.860	23.529	0.239
8.870	23.409	0.239
8.880	23.260	0.239
8.890	23.098	0.239
8.900	22.906	0.239
8.910	22.709	0.239
8.920	22.482	0.239
8.930	22.251	0.239
8.940	22.012	0.239
8.950	21.746	0.239
8.960	21.489	0.239
8.970	21.211	0.239
8.980	20.941	0.239
8.990	20.659	0.239
9.000	20.376	0.239
9.010	20.119	0.239
9.020	19.824	0.239
9.030	19.576	0.239
9.040	19.328	0.239
9.050	19.092	0.239
9.060	18.852	0.239
9.070	18.656	0.239
9.080	18.464	0.239
9.090	18.246	0.239
9.100	18.131	0.239
9.110	17.990	0.239
9.120	17.845	0.239
9.130	17.777	0.239
9.140	17.727	0.239
9.150	17.694	0.239
9.160	17.669	0.239
9.170	17.683	0.239
9.180	17.714	0.239
9.190	17.780	0.239
9.200	17.824	0.239
9.210	17.967	0.239
9.220	18.102	0.239
9.230	18.236	0.239
9.240	18.422	0.239
9.250	18.608	0.239
9.260	18.820	0.239
9.270	19.049	0.239
9.280	19.278	0.239
9.290	19.533	0.239
9.300	19.788	0.239
9.310	20.060	0.239
9.320	20.324	0.239
9.330	20.608	0.239
9.340	20.889	0.239
9.350	21.157	0.239
9.360	21.437	0.239
9.370	21.697	0.239
9.380	21.960	0.239
9.390	22.210	0.239
9.400	22.440	0.239
9.410	22.669	0.239
9.420	22.867	0.239
9.430	23.062	0.239
9.440	23.223	0.239
9.450	23.378	0.239
9.460	23.509	0.239
9.470	23.609	0.239
9.480	23.691	0.239
9.490	23.740	0.239
9.500	23.780	0.239
9.510	23.777	0.239
9.520	23.765	0.239
9.530	23.727	0.239
9.540	23.651	0.239
9.550	23.562	0.239
9.560	23.438	0.239
9.570	23.302	0.239
9.580	23.136	0.239
9.590	22.961	0.239
9.600	22.772	0.239
9.610	22.550	0.239
9.620	22.323	0.239
9.630	22.075	0.239
9.640	21.823	0.239
9.650	21.553	0.239
9.660	21.292	0.239
9.670	21.022	0.239
9.680	20.735	0.239
9.690	20.466	0.239
9.700	20.183	0.239
9.710	19.918	0.239
9.720	19.657	0.239
9.730	19.400	0.239
9.740	19.160	0.239
9.750	18.920	0.239
9.760	18.711	0.239
9.770	18.502	0.239
9.780	18.327	0.239
9.790	18.168	0.239
9.800	18.019	0.239
9.810	17.904	0.239
9.820	17.781	0.239
9.830	17.734	0.239
9.840	17.680	0.239
9.850	17.660	0.239
9.860	17.670	0.239
9.870	17.688	0.239
9.880	17.749	0.239
9.890	17.789	0.239
9.900	17.919	0.239
9.910	18.036	0.239
9.920	18.188	0.239
9.930	18.357	0.239
9.940	18.534	0.239
9.950	18.746	0.239
9.960	18.958	0.239
9.970	19.196	0.239
9.980	19.433	0.239
9.990	19.697	0.239
10.000	19.969	0.239
10.010	20.232	0.239
10.020	20.513	0.239
10.030	20.781	0.239
10.040	21.066	0.239
10.050	21.346	0.239
10.060	21.605	0.239
10.070	21.873	0.239
10.080	22.115	0.239
10.090	22.361	0.239
10.100	22.582	0.239
10.110	22.802	0.239
10.120	23.001	0.239
10.130	23.170	0.239
10.140	23.330	0.239
10.150	23.460	0.239
10.160	23.578	0.239
10.170	23.656	0.239
10.180	23.726	0.239
10.190	23.775	0.239
10.200	23.780	0.239
10.210	23.777	0.239
10.220	23.735	0.239
10.230	23.676	0.239
10.240	23.587	0.239
10.250	23.485	0.239
10.260	23.357	0.239
10.270	23.199	0.239
10.280	23.033	0.239
10.290	22.832	0.239
