Motion Sensor Data File Thu, Oct 07, 2021 9:39 AM
Time (s)	Velocity (cm/s)
5.040	NaN
5.050	11.266
5.060	12.169
5.070	15.609
5.080	16.856
5.090	19.479
5.100	20.339
5.110	23.306
5.120	24.639
5.130	24.639
5.140	26.746
5.150	26.359
5.160	28.079
5.170	27.176
5.180	28.509
5.190	28.939
5.200	26.746
5.210	27.649
5.220	25.456
5.230	25.929
5.240	24.639
5.250	21.586
5.260	21.629
5.270	18.619
5.280	17.716
5.290	14.749
5.300	13.459
5.310	11.309
5.320	7.826
5.330	6.149
5.340	2.709
5.350	1.376
5.360	-2.451
5.370	-3.741
5.380	-6.321
5.390	-9.804
5.400	-11.051
5.410	-14.491
5.420	-15.351
5.430	-18.834
5.440	-19.221
5.450	-21.371
5.460	-23.521
5.470	-23.951
5.480	-26.574
5.490	-25.671
5.500	-28.251
5.510	-26.961
5.520	-27.434
5.530	-28.681
5.540	-27.391
5.550	-27.821
5.560	-26.531
5.570	-25.284
5.580	-25.241
5.590	-23.091
5.600	-22.661
5.610	-20.511
5.620	-20.124
5.630	-14.061
5.640	-14.061
5.650	-16.641
5.660	-5.504
5.670	-8.471
5.680	-4.601
5.690	-2.881
5.700	0.516
5.710	3.139
5.720	4.429
5.730	7.869
5.740	6.106
5.750	16.469
5.760	13.889
5.770	16.856
5.780	19.049
5.790	19.909
5.800	22.446
5.810	22.919
5.820	25.069
5.830	26.746
5.840	25.929
5.850	28.079
5.860	26.746
5.870	28.509
5.880	27.176
5.890	28.509
5.900	27.649
5.910	25.456
5.920	26.359
5.930	23.349
5.940	23.736
5.950	20.339
5.960	20.339
5.970	18.576
5.980	14.749
5.990	14.319
6.000	10.406
6.010	9.589
6.020	6.149
6.030	4.429
6.040	2.236
6.050	-2.021
6.060	-2.881
6.070	-6.794
6.080	-8.041
6.090	-11.481
6.100	-12.771
6.110	-14.491
6.120	-18.404
6.130	-18.791
6.140	-21.801
6.150	-22.231
6.160	-23.564
6.170	-25.671
6.180	-25.671
6.190	-27.821
6.200	-26.961
6.210	-28.724
6.220	-27.391
6.230	-27.391
6.240	-27.821
6.250	-26.531
6.260	-27.004
6.270	-25.671
6.280	-23.091
6.290	-21.801
6.300	-20.511
6.310	-19.694
6.320	-16.641
6.330	-15.781
6.340	-12.341
6.350	-11.094
6.360	-7.611
6.370	-5.461
6.380	-4.171
6.390	-0.344
6.400	1.419
6.410	4.859
6.420	6.106
6.430	-4.601
6.440	26.789
6.450	13.029
6.460	15.566
6.470	18.619
6.480	20.339
6.490	22.016
6.500	22.489
6.510	25.069
6.520	24.596
6.530	26.789
6.540	27.219
6.550	27.606
6.560	28.939
6.570	27.176
6.580	28.509
6.590	26.789
6.600	27.176
6.610	25.069
6.620	25.499
6.630	23.736
6.640	21.199
6.650	21.199
6.660	17.716
6.670	16.899
6.680	13.459
6.690	12.556
6.700	10.449
6.710	6.579
6.720	5.719
6.730	1.376
6.740	0.559
6.750	-3.311
6.760	-4.644
6.770	-7.181
6.780	-11.051
6.790	-11.481
6.800	-15.394
6.810	-16.211
6.820	-18.361
6.830	-20.941
6.840	-21.801
6.850	-23.994
6.860	-24.381
6.870	-26.531
6.880	-26.101
6.890	-26.531
6.900	-28.294
6.910	-27.391
6.920	-28.681
6.930	-26.961
6.940	-27.821
6.950	-26.144
6.960	-24.811
6.970	-24.811
6.980	-22.231
6.990	-22.231
7.000	-18.834
7.010	-21.371
7.020	-12.341
7.030	-13.201
7.040	-27.434
7.050	7.009
7.060	-7.181
7.070	-3.741
7.080	-2.494
7.090	1.419
7.100	3.999
7.110	5.246
7.120	-9.331
7.130	28.079
7.140	13.459
7.150	12.556
7.160	19.479
7.170	19.909
7.180	19.866
7.190	22.919
7.200	23.349
7.210	25.456
7.220	26.789
7.230	25.886
7.240	28.079
7.250	26.789
7.260	28.466
7.270	27.219
7.280	27.649
7.290	27.606
7.300	25.499
7.310	25.499
7.320	22.876
7.330	22.919
7.340	20.339
7.350	19.436
7.360	17.329
7.370	14.319
7.380	13.416
7.390	10.019
7.400	8.729
7.410	4.859
7.420	3.526
7.430	1.419
7.440	-2.881
7.450	-3.354
7.460	-8.041
7.470	-8.471
7.480	-11.051
7.490	-14.534
7.500	-15.351
7.510	-18.791
7.520	-19.221
7.530	-22.231
7.540	-22.274
7.550	-23.951
7.560	-26.101
7.570	-25.671
7.580	-27.864
7.590	-26.961
7.600	-28.681
7.610	-26.961
7.620	-26.961
7.630	-27.864
7.640	-26.101
7.650	-26.101
7.660	-25.671
7.670	-24.381
7.680	-19.264
7.690	-20.941
7.700	-19.221
7.710	-15.781
7.720	-13.201
7.730	-14.534
7.740	-13.201
7.750	-0.731
7.760	-4.171
7.770	-3.354
7.780	0.989
7.790	1.849
7.800	6.106
7.810	0.559
7.820	15.179
7.830	14.319
7.840	11.696
7.850	19.479
7.860	17.329
7.870	21.156
7.880	22.489
7.890	22.489
7.900	25.456
7.910	25.069
7.920	27.176
7.930	26.359
7.940	28.079
7.950	28.466
7.960	27.219
7.970	28.079
7.980	26.316
7.990	26.789
8.000	24.639
8.010	24.596
8.020	23.349
8.030	20.339
8.040	20.296
8.050	16.899
8.060	16.039
8.070	12.986
8.080	11.739
8.090	9.589
8.100	5.676
8.110	4.429
8.120	0.989
8.130	-0.301
8.140	-2.924
8.150	-6.751
8.160	-8.041
8.170	-11.481
8.180	-12.814
8.190	-15.781
8.200	-16.641
8.210	-18.791
8.220	-21.844
8.230	-21.801
8.240	-24.811
8.250	-24.381
8.260	-26.961
8.270	-26.144
8.280	-26.961
8.290	-28.251
8.300	-27.391
8.310	-28.251
8.320	-27.004
8.330	-27.391
8.340	-25.671
8.350	-26.531
8.360	-22.231
8.370	-21.414
8.380	-24.381
8.390	-16.641
8.400	-24.381
8.410	-7.181
8.420	-12.384
8.430	-30.401
8.440	11.739
8.450	-6.751
8.460	-2.494
8.470	-0.301
8.480	0.989
8.490	4.386
8.500	4.429
8.510	0.989
8.520	21.156
8.530	14.319
8.540	16.039
8.550	17.759
8.560	20.296
8.570	20.769
8.580	23.349
8.590	23.306
8.600	25.929
8.610	27.176
8.620	25.929
8.630	28.079
8.640	27.176
8.650	28.079
8.660	26.789
8.670	28.036
8.680	27.219
8.690	24.639
8.700	25.026
8.710	22.919
8.720	22.489
8.730	20.296
8.740	17.759
8.750	16.899
8.760	13.846
8.770	12.599
8.780	8.729
8.790	7.826
8.800	5.719
8.810	1.419
8.820	0.559
8.830	-3.354
8.840	-4.601
8.850	-8.471
8.860	-9.331
8.870	-11.954
8.880	-14.921
8.890	-16.211
8.900	-19.221
8.910	-19.694
8.920	-22.661
8.930	-23.091
8.940	-23.951
8.950	-26.531
8.960	-25.714
8.970	-27.821
8.980	-26.961
8.990	-28.251
9.000	-28.251
9.010	-25.714
9.020	-29.541
9.030	-24.811
9.040	-24.811
9.050	-23.521
9.060	-23.994
9.070	-19.651
9.080	-19.221
9.090	-21.801
9.100	-11.524
9.110	-14.061
9.120	-14.491
9.130	-6.751
9.140	-5.074
9.150	-3.311
9.160	-2.451
9.170	1.419
9.180	3.096
9.190	6.579
9.200	4.429
9.210	14.276
9.220	13.459
9.230	13.459
9.240	18.619
9.250	18.576
9.260	21.199
9.270	22.919
9.280	22.876
9.290	25.499
9.300	25.456
9.310	27.219
9.320	26.359
9.330	28.466
9.340	28.079
9.350	26.789
9.360	28.036
9.370	25.929
9.380	26.359
9.390	25.026
9.400	22.919
9.410	22.919
9.420	19.866
9.430	19.479
9.440	16.039
9.450	15.566
9.460	13.029
9.470	10.019
9.480	8.256
9.490	4.859
9.500	3.999
9.510	-0.301
9.520	-1.204
9.530	-3.741
9.540	-7.611
9.550	-8.901
9.560	-12.384
9.570	-13.631
9.580	-16.641
9.590	-17.501
9.600	-18.834
9.610	-22.231
9.620	-22.661
9.630	-24.811
9.640	-25.241
9.650	-27.004
9.660	-26.101
9.670	-26.961
9.680	-28.681
9.690	-26.961
9.700	-28.294
9.710	-26.531
